,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,nm_pol,murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,totarea,totalcrime,long,lat,crime/area,area,crime_severity,crime_density,crime_risk_score
33,33,33,33,33,33,33,33,33,33,33,FARASH BAZAR,6,3,1,20,374,14,9,1721757.744,427,77.29224,28.66879,248.0023694,1.721757744,21.980000000000004,0.0002480023693739809,30.929100335901826
34,34,34,34,34,34,34,34,34,34,34,KALKAJI,2,9,0,17,141,8,2,2659329.537,179,77.25743,28.53321,67.31019886,2.659329537,10.35,6.731019887137816e-05,7.9878506736487305
35,35,35,35,35,35,35,35,35,35,35,PARSHAD NAGAR,1,12,2,36,466,6,13,4104570.166,536,77.18053,28.64784,130.5861462,4.104570166,26.380000000000003,0.00013058614625227483,16.021565153047444
36,36,36,36,36,36,36,36,36,36,36,LODHI COLONY,0,5,0,17,168,13,5,2116960.63,208,77.24047,28.58744,98.25407096,2.11696063,11.74,9.825407097910933e-05,11.916582580325702
37,37,37,37,37,37,37,37,37,37,37,INDERPURI,0,13,0,17,212,31,5,1255396.299,278,77.14501,28.63077,221.4440175,1.255396299,18.36,0.00022144401749586484,27.557167953003965
38,38,38,38,38,38,38,38,38,38,38,OKHLA,6,27,3,8,174,13,13,1716036.19,244,77.27462,28.52678,142.1881435,1.71603619,18.509999999999998,0.0001421881434796547,17.49459142880551
39,39,39,39,39,39,39,39,39,39,39,SAMAYPURBADLI,0,2,0,5,74,7,2,3249865.013,90,77.14219,28.72516,27.69345792,3.249865013,5.220000000000001,2.7693457925170755e-05,2.9579838989914524
40,40,40,40,40,40,40,40,40,40,40,JAFFARPUR KALAN,2,11,1,35,719,8,5,70469487.22,781,76.91555,28.59572,11.08281089,70.46948722,35.39,1.1082810884685192e-05,0.8490435960033063
41,41,41,41,41,41,41,41,41,41,41,MAYA PURI,3,21,2,17,256,28,17,2553754.816,344,77.12084,28.62657,134.7036128,2.553754816,23.869999999999997,0.00013470361283109177,16.544331737221395
42,42,42,42,42,42,42,42,42,42,42,AMAN VIHAR,10,14,1,84,487,25,12,3296887.934,633,77.06081,28.70965,191.9992467,3.296887934,35.05,0.0001919992467660261,23.818766700298312
43,43,43,43,43,43,43,43,43,43,43,VIJAY VIHAR,0,3,0,9,232,6,5,2649542.395,255,77.10186,28.71003,96.24303447,2.649542395,12.21,9.62430344504829e-05,11.661255019896263
44,44,44,44,44,44,44,44,44,44,44,AMAR COLONY,3,14,1,88,484,17,40,1505936.692,647,77.24093,28.55914,429.6329345,1.505936692,36.690000000000005,0.0004296329343969527,53.98949153546446
45,45,45,45,45,45,45,45,45,45,45,ALIPUR,6,15,1,52,320,22,18,51545474.92,434,77.13913,28.79903,8.419749759,51.54547492,26.54,8.419749758316902e-06,0.5109329296920846
46,46,46,46,46,46,46,46,46,46,46,MAHENDRA PARK,0,15,2,37,832,28,4,2463668.046,918,77.16418,28.72579,372.6151344,2.463668046,44.15,0.00037261513436863397,46.75033124421521
47,47,47,47,47,47,47,47,47,47,47,VASANT KUNJ SOUTH,0,1,0,1,65,1,3,14105371.6,71,77.15236,28.53492,5.033543391,14.1053716,3.5,5.033543391370136e-06,0.08100945566464841
48,48,48,48,48,48,48,48,48,48,48,BHALSWA DAIRY,2,13,1,28,338,23,12,4498522.05,417,77.16574,28.74286,92.69711149,4.49852205,24.130000000000003,9.269711148798304e-05,11.211053421567167
49,49,49,49,49,49,49,49,49,49,49,BAWANA,6,20,3,93,383,13,8,40327922.92,526,77.04254,28.79654,13.04307194,40.32792292,29.060000000000002,1.3043071944058357e-05,1.0979245422069202
50,50,50,50,50,50,50,50,50,50,50,BEGUM PUR,0,4,0,73,413,5,4,35490190.9,499,77.05179,28.72449,14.06022305,35.4901909,22.48,1.406022304602481e-05,1.227065264295441
51,51,51,51,51,51,51,51,51,51,51,NARAINA,2,11,0,28,425,18,12,14937293.49,496,77.13777,28.63356,33.20547998,14.93729349,26.120000000000005,3.3205479984178845e-05,3.657807659189903
52,52,52,52,52,52,52,52,52,52,52,NEB SARAI,3,20,2,35,626,19,13,8344724.019,718,77.21428,28.49893,86.04239018,8.344724019,37.04,8.604239018153201e-05,10.36614894950644
53,53,53,53,53,53,53,53,53,53,53,RAJINDER NAGAR,1,21,1,31,474,32,11,3013302.528,571,77.18285,28.63505,189.4930876,3.013302528,32.51,0.00018949308763198966,23.50057680735861
54,54,54,54,54,54,54,54,54,54,54,SHALIMAR BAGH,8,9,0,45,335,13,23,1281611.56,433,77.15712,28.71681,337.855879,1.28161156,25.02,0.00033785587889048065,42.33718619326864
55,55,55,55,55,55,55,55,55,55,55,KESHAV PURAM,1,43,0,21,336,47,10,1352844.685,458,77.15977,28.68423,338.5458842,1.352844685,32.96,0.0003385458841492954,42.42479144404794
56,56,56,56,56,56,56,56,56,56,56,RANI BAGH,2,25,1,56,496,27,10,2974723.888,617,77.11933,28.69784,207.4142083,2.974723888,34.45,0.0002074142082527291,25.775898982326968
57,57,57,57,57,57,57,57,57,57,57,BARA HINDU RAO,6,20,2,35,284,10,10,1749323.881,367,77.20846,28.66539,209.7953409,1.749323881,21.77,0.00020979534092349135,26.078215119915882
58,58,58,58,58,58,58,58,58,58,58,CONNAUGHT PLACE,1,11,0,55,800,36,6,5266891.996,909,77.21432,28.63,172.5875527,5.266891996,44.73,0.0001725875527142668,21.354196606475302
59,59,59,59,59,59,59,59,59,59,59,H. N. DIN,1,8,1,15,214,14,4,10316304.04,257,77.24417,28.59238,24.91202265,10.31630404,14.430000000000001,2.4912022658843624e-05,2.6048440773449637
60,60,60,60,60,60,60,60,60,60,60,DARYA GANJ,4,5,0,19,180,8,6,5570696.132,222,77.24062,28.6419,39.85139285,5.570696132,12.329999999999998,3.985139284922676e-05,4.501593783660902
